date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:04:41	5581/5581	---M--	200	added ('OK')	application/x-javascript	etag:%2215cd-56ea36847f59f%22	http://northmartin.com/files/plugins.js	C:/My%20Web%20Sites/north/northmartin.com/files/plugins.js	(from http://northmartin.com/)
16:04:42	11903/11903	---M--	200	added ('OK')	application/x-javascript	etag:%222e7f-56ea367fb4b29%22	http://northmartin.com/files/scripts.js	C:/My%20Web%20Sites/north/northmartin.com/files/scripts.js	(from http://northmartin.com/)
16:04:44	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://northmartin.com/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/north/northmartin.com/fonts/glyphicons-halflings-regular.eot	(from http://northmartin.com/files/bootstrap.min.css)
16:04:45	244896/244896	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2028%20Jun%202018%2010:59:30%20GMT	https://assets.secure.checkout.visa.com/checkout-widget/resources/js/integration/v1/sdk.js	C:/My%20Web%20Sites/north/assets.secure.checkout.visa.com/checkout-widget/resources/js/integration/v1/sdk.js	(from http://northmartin.com/)
16:04:45	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://northmartin.com/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/north/northmartin.com/fonts/glyphicons-halflings-regulard41d.eot	(from http://northmartin.com/files/bootstrap.min.css)
16:04:45	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://northmartin.com/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/north/northmartin.com/fonts/glyphicons-halflings-regular.woff2	(from http://northmartin.com/files/bootstrap.min.css)
16:04:46	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://northmartin.com/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/north/northmartin.com/fonts/glyphicons-halflings-regular.woff	(from http://northmartin.com/files/bootstrap.min.css)
16:04:46	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://northmartin.com/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/north/northmartin.com/fonts/glyphicons-halflings-regular.ttf	(from http://northmartin.com/files/bootstrap.min.css)
16:04:47	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://northmartin.com/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/north/northmartin.com/fonts/glyphicons-halflings-regular.svg	(from http://northmartin.com/files/bootstrap.min.css)
16:04:47	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://northmartin.com/files/owl.video.play.png	C:/My%20Web%20Sites/north/northmartin.com/files/owl.video.play.png	(from http://northmartin.com/files/owl.carousel.css)
16:04:47	98140/98140	---M--	200	added ('OK')	image/jpeg	etag:%2217f5c-56ea364780742%22	http://northmartin.com/files/servicios.jpeg	C:/My%20Web%20Sites/north/northmartin.com/files/servicios.jpg	(from http://northmartin.com/)
16:04:48	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://northmartin.com/fonts/fontawesome-webfont.eot?v=4.6.3	C:/My%20Web%20Sites/north/northmartin.com/fonts/fontawesome-webfont5b62.eot	(from http://northmartin.com/files/font-awesome.min.css)
16:04:48	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://northmartin.com/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/north/northmartin.com/fonts/fontawesome-webfontd41d.eot	(from http://northmartin.com/files/font-awesome.min.css)
16:04:48	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://northmartin.com/fonts/fontawesome-webfont.woff2?v=4.6.3	C:/My%20Web%20Sites/north/northmartin.com/fonts/fontawesome-webfont5b62.woff2	(from http://northmartin.com/files/font-awesome.min.css)
16:04:49	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://northmartin.com/fonts/fontawesome-webfont.woff?v=4.6.3	C:/My%20Web%20Sites/north/northmartin.com/fonts/fontawesome-webfont5b62.woff	(from http://northmartin.com/files/font-awesome.min.css)
16:04:49	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://northmartin.com/fonts/fontawesome-webfont.ttf?v=4.6.3	C:/My%20Web%20Sites/north/northmartin.com/fonts/fontawesome-webfont5b62.ttf	(from http://northmartin.com/files/font-awesome.min.css)
16:04:49	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://northmartin.com/fonts/fontawesome-webfont.svg?v=4.6.3	C:/My%20Web%20Sites/north/northmartin.com/fonts/fontawesome-webfont5b62.svg	(from http://northmartin.com/files/font-awesome.min.css)
16:04:50	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://northmartin.com/fonts/Flaticon.eot	C:/My%20Web%20Sites/north/northmartin.com/fonts/Flaticon.eot	(from http://northmartin.com/files/flaticon.css)
16:04:50	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://northmartin.com/fonts/Flaticon.eot?	C:/My%20Web%20Sites/north/northmartin.com/fonts/Flaticond41d.eot	(from http://northmartin.com/files/flaticon.css)
16:04:50	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://northmartin.com/fonts/Flaticon.woff	C:/My%20Web%20Sites/north/northmartin.com/fonts/Flaticon.woff	(from http://northmartin.com/files/flaticon.css)
16:04:50	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://northmartin.com/fonts/Flaticon.ttf	C:/My%20Web%20Sites/north/northmartin.com/fonts/Flaticon.ttf	(from http://northmartin.com/files/flaticon.css)
16:04:51	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://northmartin.com/fonts/Flaticon.svg	C:/My%20Web%20Sites/north/northmartin.com/fonts/Flaticon.svg	(from http://northmartin.com/files/flaticon.css)
16:04:51	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://northmartin.com/files/Flaticon.svg	C:/My%20Web%20Sites/north/northmartin.com/files/Flaticon.svg	(from http://northmartin.com/files/flaticon.css)
16:04:52	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://northmartin.com/images/bg/1.png	C:/My%20Web%20Sites/north/northmartin.com/images/bg/1.png	(from http://northmartin.com/files/styles.css)
16:04:53	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://northmartin.com/images/about.jpg	C:/My%20Web%20Sites/north/northmartin.com/images/about.jpg	(from http://northmartin.com/files/responsive.css)
16:04:54	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://northmartin.com/Popover%20requires%20tooltip.js	C:/My%20Web%20Sites/north/northmartin.com/Popover%20requires%20tooltip.js	(from http://northmartin.com/files/bootstrap.min.js)
16:04:55	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://northmartin.com/es5-ext/array/	C:/My%20Web%20Sites/north/northmartin.com/es5-ext/array/index.html	(from https://assets.secure.checkout.visa.com/checkout-widget/resources/js/integration/v1/sdk.js)
16:04:55	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://northmartin.com/es5-ext/string/	C:/My%20Web%20Sites/north/northmartin.com/es5-ext/string/index.html	(from https://assets.secure.checkout.visa.com/checkout-widget/resources/js/integration/v1/sdk.js)
16:04:56	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://northmartin.com/lodash.set	C:/My%20Web%20Sites/north/northmartin.com/lodash.set	(from https://assets.secure.checkout.visa.com/checkout-widget/resources/js/integration/v1/sdk.js)
16:04:56	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://northmartin.com/wallet-services-web/xo/button.png?cardArtOnly=true	C:/My%20Web%20Sites/north/northmartin.com/wallet-services-web/xo/button51ce.png	(from https://assets.secure.checkout.visa.com/checkout-widget/resources/js/integration/v1/sdk.js)
16:05:00	83007/83007	---M--	200	added ('OK')	image/jpeg	etag:%221443f-56ea377bddf55%22	http://northmartin.com/files/ojas.jpg	C:/My%20Web%20Sites/north/northmartin.com/files/ojas.jpg	(from http://northmartin.com/files/styles.css)
16:05:10	380540/380540	---M--	200	added ('OK')	image/jpeg	etag:%225ce7c-56ea375bbc420%22	http://northmartin.com/files/background.jpg	C:/My%20Web%20Sites/north/northmartin.com/files/background.jpg	(from http://northmartin.com/files/styles.css)
